pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area
8,6.45,9,17,4,1441213200,41.892072635,-87.628874157,41.880994471,-87.632746489,0.9,,17031839100,Credit Card,Taxi Affiliation Services,540,32
8,8.05,10,20,7,1414269000,41.899155613,-87.626210532,41.880994471,-87.632746489,0.0,,17031839100,Cash,Taxi Affiliation Services,840,32
32,7.65,3,20,2,1395087300,41.880994471,-87.632746489,41.877406123,-87.621971652,1.9,,17031320400,Cash,,480,32
8,36.05,6,17,7,1370713500,41.890922026,-87.618868355,41.97907082,-87.903039661,17.4,,17031980000,Cash,Dispatch Taxi Affiliation,2280,76
32,4.45,4,12,3,1398775500,41.880994471,-87.632746489,41.880994471,-87.632746489,0.3,,17031839100,Cash,,240,32
8,36.45,10,8,6,1413532800,41.892507781,-87.626214906,41.97907082,-87.903039661,17.5,,17031980000,Credit Card,,2040,76
76,37.05,3,23,4,1394667000,41.97907082,-87.903039661,41.898331794,-87.620762865,0.0,,17031081300,Cash,Choice Taxi Association,1680,8
28,6.25,10,9,5,1380791700,41.879255084,-87.642648998,41.880994471,-87.632746489,0.9,,17031839100,Cash,,480,32
8,8.44,10,8,1,1382862600,41.899602111,-87.633308037,41.944226601,-87.655998182,2.8,,,Cash,,360,6
32,8.85,7,19,5,1406834100,41.884987192,-87.620992913,41.851017824,-87.635091856,0.0,,17031841100,Cash,Taxi Affiliation Services,720,34
28,7.25,11,20,4,1448481600,41.874005383,-87.66351755,41.874005383,-87.66351755,1.9,,,Cash,Taxi Affiliation Services,480,28
8,10.5,4,1,7,1461979800,41.90749193,-87.63576009,41.884987192,-87.620992913,2.7,,17031320100,Credit Card,,720,32
32,3.65,8,10,1,1407060900,41.880994471,-87.632746489,41.880994471,-87.632746489,0.0,,17031839100,Cash,,60,32
32,12.5,10,19,4,1477511100,41.880994471,-87.632746489,41.899155613,-87.626210532,1.8,,17031081201,Credit Card,Dispatch Taxi Affiliation,1440,8
8,10.45,5,18,2,1399919400,41.892042136,-87.63186395,41.884987192,-87.620992913,0.1,,17031320100,Cash,Taxi Affiliation Services,960,32
28,4.65,2,16,3,1360686600,41.879255084,-87.642648998,,,0.65,,,Cash,,240,
76,40.05,11,17,5,1384451100,41.97907082,-87.903039661,41.880994471,-87.632746489,1.0,,17031839100,Cash,Taxi Affiliation Services,4440,32
28,3.25,11,12,6,1383308100,41.88528132,-87.6572332,41.88528132,-87.6572332,0.0,,17031833000,Cash,,0,28
8,7.05,12,15,6,1417793400,41.900221297,-87.629105186,41.892072635,-87.628874157,1.0,,17031081600,Cash,Dispatch Taxi Affiliation,660,8
32,5.05,1,19,3,1421781300,41.880994471,-87.632746489,41.879255084,-87.642648998,0.0,,17031281900,Credit Card,Blue Ribbon Taxi Association Inc.,300,28
8,21.45,9,20,5,1441310400,41.899602111,-87.633308037,41.954027649,-87.763399032,0.5,,,Credit Card,Taxi Affiliation Services,1080,15
3,7.85,5,22,7,1433023200,41.972437081,-87.671109526,41.946294536,-87.654298084,1.9,,17031832000,Cash,Dispatch Taxi Affiliation,600,6
32,24.85,9,11,6,1443181500,41.880994471,-87.632746489,41.785998518,-87.750934289,11.0,,17031980100,Credit Card,,1440,56
32,7.25,11,1,1,1446339600,41.877406123,-87.621971652,41.89321636,-87.63784421,0.0,,17031081800,Credit Card,Taxi Affiliation Services,540,8
32,6.65,11,18,2,1383590700,41.880994471,-87.632746489,41.899155613,-87.626210532,1.1,,17031081201,Credit Card,Northwest Management LLC,540,8
34,15.05,1,22,2,1420495200,41.842076117,-87.633973422,41.775928827,-87.666596265,6.1,,,Unknown,Taxi Affiliation Services,1200,67
32,36.65,10,14,6,1445610600,41.880994471,-87.632746489,41.97907082,-87.903039661,17.3,,17031980000,Credit Card,Taxi Affiliation Services,2640,76
8,5.45,3,19,1,1364758200,41.899155613,-87.626210532,41.907412816,-87.640901525,0.5,,17031080400,Credit Card,Dispatch Taxi Affiliation,300,8
28,35.25,1,16,3,1420560900,41.885300022,-87.642808466,41.97907082,-87.903039661,17.1,,17031980000,Credit Card,Taxi Affiliation Services,1800,76
8,5.65,5,20,6,1399060800,41.892507781,-87.626214906,41.880994471,-87.632746489,0.4,,17031839100,Cash,Dispatch Taxi Affiliation,480,32
24,8.05,6,21,4,1433972700,41.901206994,-87.676355989,41.878865584,-87.625192142,2.13,,,Credit Card,,480,32
28,5.65,1,11,3,1358249400,41.879255084,-87.642648998,41.877406123,-87.621971652,0.0,,17031320400,Cash,Dispatch Taxi Affiliation,360,32
33,9.05,8,11,6,1438947900,41.859349715,-87.617358006,41.892042136,-87.63186395,2.3,,17031081700,Credit Card,,660,8
32,7.25,10,15,5,1446131700,41.880994471,-87.632746489,41.89503345,-87.619710672,1.4,,17031081401,Cash,Choice Taxi Association,540,8
6,6.25,10,2,2,1413167400,41.944226601,-87.655998182,41.922686284,-87.649488729,0.0,,,Cash,Taxi Affiliation Services,360,7
